alın,alın burun,belirgin,bir,burun,bölgemde,bölgesinde,bölgesinde yağlanma,cildim,cilt,cilt kuruması,duş,duş sonrası,dökülme,fazla,gergin,gözenekler,gün,gün içinde,havada,içinde,kuruluk,kuruması,olması,oluyor,parlama,problem,problem yok,sonra,sonrası,soğuk,soğuk havada,sürekli,yağlanma,yağlanma oluyor,yağlı,yok,yüz,yüz yıkama,yüzümü,yüzümü yıkadıktan,yıkadıktan,yıkadıktan sonra,yıkama,yıkama sonrası,label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5007545794749042,0.5288962209837287,0.0,0.5288962209837287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.435640248362308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kuru
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4418472543866714,0.4418472543866714,0.4064427766719043,0.4064427766719043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4064427766719043,0.0,0.0,0.0,0.0,0.0,0.0,0.3375719411556856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kuru
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7359780662667982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6770053810526061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kuru
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kuru
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kuru
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8328221589348641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5535406503474447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yağlı
0.0,0.0,0.0,0.8422294691100661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39266155780610007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36941361965128294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yağlı
0.4890104687259544,0.0,0.0,0.0,0.4890104687259544,0.531607265214902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4890104687259544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yağlı
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7359780662667982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6770053810526061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yağlı
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5927479304391474,0.5927479304391474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5452520352279443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
